No Bottle,,,,,,Bottle 75% filled,,,,,,Bottle 0% filled,,,,
,,x,y,z,,,,x,y,z,,,,x,y,z
Wrench,(Force):,"-4.18784,","-0.303307,",0.543984,,Wrench,(Force):,"-1.64722,","-0.211755,",1.64946,,Wrench,(Force):,"-3.60952,","-0.24078,",0.838594
Wrench,(Torque):,"-0.179523,","0.544781,",-11.9902,,Wrench,(Torque):,"-0.184284,","0.255489,",-11.8388,,Wrench,(Torque):,"-0.178012,","0.480136,",-11.8759
Wrench,(Force):,"1.52306,","5.09513,",-0.358776,,Wrench,(Force):,"5.4828,","1.0293,",1.9913,,Wrench,(Force):,"2.45794,","4.2028,",0.258736
Wrench,(Torque):,"0.395737,","0.108002,",-17.7143,,Wrench,(Torque):,"0.0157822,","-0.104061,",-18.3045,,Wrench,(Torque):,"0.314041,","0.0588625,",-17.6418
Wrench,(Force):,"7.96385,","-1.21864,",-1.03246,,Wrench,(Force):,"7.02917,","-9.40869,",2.18786,,Wrench,(Force):,"7.83468,","-3.08102,",-0.177706
Wrench,(Torque):,"0.091227,","-0.439657,",-12.191,,Wrench,(Torque):,"-0.389149,","-0.206618,",-12.4781,,Wrench,(Torque):,"-0.0117405,","-0.393691,",-12.0908
Wrench,(Force):,"2.35511,","-10.2432,",-1.49297,,Wrench,(Force):,"-5.11078,","-15.1165,",2.32449,,Wrench,(Force):,"0.232591,","-11.2198,",-0.481793
Wrench,(Torque):,"-0.514059,","-0.238882,",-9.07996,,Wrench,(Torque):,"-0.58581,","0.303166,",-9.3939,,Wrench,(Torque):,"-0.522253,","-0.110483,",-9.60558
Wrench,(Force):,"-8.62466,","-8.85354,",-1.83927,,Wrench,(Force):,"-18.5608,","-3.43451,",2.45389,,Wrench,(Force):,"-10.8286,","-7.66725,",-0.705211
Wrench,(Torque):,"-0.529375,","0.398802,",-7.09909,,Wrench,(Torque):,"-0.0133411,","0.816851,",-7.38136,,Wrench,(Torque):,"-0.425641,","0.480521,",-7.36897
Wrench,(Force):,"-13.4989,","2.25201,",-2.08204,,Wrench,(Force):,"-13.5642,","15.9727,",2.53682,,Wrench,(Force):,"-14.0033,","4.78769,",-0.866953
Wrench,(Torque):,"0.0740937,","0.739317,",-5.10703,,Wrench,(Torque):,"0.816994,","0.467887,",-4.19797,,Wrench,(Torque):,"0.202288,","0.703298,",-4.4275
Wrench,(Force):,"-4.92829,","13.9041,",-2.25343,,Wrench,(Force):,"4.72029,","22.0969,",2.58682,,Wrench,(Force):,"-2.90261,","15.7662,",-0.980778
Wrench,(Torque):,"0.774436,","0.288667,",-2.76692,,Wrench,(Torque):,"0.971555,","-0.411429,",-2.04281,,Wrench,(Torque):,"0.80456,","0.161095,",-2.37947
Wrench,(Force):,"8.47333,","13.2187,",-2.39446,,Wrench,(Force):,"21.6526,","10.3844,",2.59731,,Wrench,(Force):,"11.2698,","12.8949,",-1.06208
Wrench,(Torque):,"0.764699,","-0.489676,",-1.45777,,Wrench,(Torque):,"0.305566,","-1.10792,",-0.685827,,Wrench,(Torque):,"0.683916,","-0.591543,",-1.89286
Wrench,(Force):,"16.3882,","1.22231,",-2.53323,,Wrench,(Force):,"21.0878,","-13.4068,",2.57451,,Wrench,(Force):,"17.9267,","-1.35383,",-1.14491
Wrench,(Torque):,"0.0769223,","-0.963596,",-1.39776,,Wrench,(Torque):,"-0.802089,","-0.896033,",-0.344251,,Wrench,(Torque):,"-0.0608479,","-0.961304,",-1.60796
Wrench,(Force):,"9.66389,","-13.871,",-2.62671,,Wrench,(Force):,"1.90555,","-25.4197,",2.57177,,Wrench,(Force):,"8.08331,","-16.6355,",-1.23803
Wrench,(Torque):,"-0.806654,","-0.574543,",-1.76594,,Wrench,(Torque):,"-1.21521,","0.102848,",-1.73978,,Wrench,(Torque):,"-0.883964,","-0.448586,",-1.60757
Wrench,(Force):,"-4.9862,","-16.4232,",-2.682,,Wrench,(Force):,"-19.1684,","-17.3872,",2.56855,,Wrench,(Force):,"-8.05631,","-17.0005,",-1.25926
Wrench,(Torque):,"-0.948788,","0.275429,",-1.868,,Wrench,(Torque):,"-0.660122,","1.03022,",-1.54752,,Wrench,(Torque):,"-0.906821,","0.412731,",-1.3494
